playerId,batsman,strike_rate
489,Mustafizur Rahman,33.33333333
490,LH Ferguson,100
491,H Gurney,20
492,L Plunkett,33.33333333
493,BE Hendricks,33.33333333
494,P Parameswaran,50
495,DP Vijaykumar,100
496,DJ Muthuswami,33.33333333
497,M Wood,33.33333333
498,NJ Rimmington,100
499,P Krishna,14.28571429
500,M de Lange,50
501,K Ahmed,0
502,C Nanda,0
503,YA Abdulla,0
504,U Kaul,0
505,P Raj,0
506,S Lamichhane,0
507,RR Bhatkal,0
508,IC Pandey,0
509,L Ablish,0
510,Abdur Razzak,0
511,Sunny Gupta,0
512,ND Doshi,0
513,J Denly,0
514,S Ladda,0
515,V Pratap Singh,0
516,S Kaushik,0
